Name,Address,Province,lon,lat
Grove Street Pharmacy,L4M 6M3,Ontario,-79.6561751,44.404857
Kozlov Guardian Pharmacy,L4M 5A1,Ontario,-79.705981,44.4058841
Letitia Pharmacy,L4N 5G5,Ontario,-79.7226353,44.391176
Little Avenue Pharmacy Pharmacy,L4N 4K8,Ontario,-79.6830106,44.3624345
Loblaw,L4M 5A2,Ontario,-79.715448,44.4152158
Mapleview Medical Pharmacy,L4N 0W5,Ontario,-79.6638933,44.3394869
New Life Family Pharmacy,L4N 8K8,Ontario,-79.6505614,44.3663487
Pharma Plus,L4N 1L3,Ontario,-79.7026498,44.3890705
Pharmaright Pharmacy,L4M 1G5,Ontario,-79.6889729,44.3901657
Pharmasave Allandale,L4N 3K4,Ontario,-79.691954,44.3730435
Pharmasave Marsellus,L4N 0Y4,Ontario,-79.7207071,44.3388002
Pharmasave Simcoe,L4M 1K7,Ontario,-79.6582801,44.395699
Primary Care Pharmacy,L4N 8Y2,Ontario,-79.677574,44.3404407
Prince William Way Pharmasave,L9J 0G7,Ontario,-79.6115649,44.352879
Procare Pharmacy,L4M 6L2,Ontario,-79.675294,44.4105438
Prohealth Pharmacy,L4N 9C2,Ontario,-79.7333275,44.349891
Purehealth Pharmacy,L4M 6M2,Ontario,-79.6621392,44.4150413
Rexall,L4M 4S5,Ontario,-79.7329769,44.4267358
Rexall,L4N 1R8,Ontario,-79.6926554,44.3894776
Rexall,L4M 3X8,Ontario,-79.6735401,44.408339
Rexall,L4M 3B9,Ontario,-79.7024745,44.3997217
Rexall Pharma Plus,L4N 6A9,Ontario,-79.7101887,44.3378461
Royal Medical Pharmasave,L4M 7G1,Ontario,-79.6579293,44.4158257
Royal Simcoe Pharmacy,L4M 6Z4,Ontario,-79.6952856,44.4182049
Shoppers Drug Mart,L4M 5L1,Ontario,-79.7026498,44.4051433
Shoppers Drug Mart,L4N 7T9,Ontario,-79.6716109,44.3711922
Shoppers Drug Mart,L4N 9G4,Ontario,-79.7157987,44.3284055
Shoppers Drug Mart,L4N 4E7,Ontario,-79.644421,44.3559918
Shoppers Drug Mart,L4M 4Z8,Ontario,-79.7094874,44.4132143
Shoppers Drug Mart,L4M 5A2,Ontario,-79.715448,44.4152158
Shoppers Drug Mart,L4N 9J7,Ontario,-79.7015978,44.3495002
Shoppers Drug Mart,L4N 1L7,Ontario,-79.705981,44.3871808
Shoppers Drug Mart,L4N 0G5,Ontario,-79.6167843,44.3630408
Sobeys Pharmacy,L4N 9H5,Ontario,-79.6859918,44.3330141
Springwater Pharmacy,L4M 0K1,Ontario,-79.7244409,44.427863
Wal-Mart Pharmacy,L4N 9H5,Ontario,-79.6859918,44.3330141
Wal-Mart Pharmacy,L4M 5A2,Ontario,-79.715448,44.4152158
Zehrs Markets,L4M 0J7,Ontario,-79.673862,44.415988
Zehrs Markets,L4N 4E5,Ontario,-79.6491579,44.3580329
Bath Family Pharmacy,K0H 1G0,Ontario,-76.7913558,44.2040158
Pharmasave Michael's Pharmacy,N0M 1G0,Ontario,-81.6692532,43.5828269
Lincoln Medical Pharmacy,L0R 1B5,Ontario,-79.4774195,43.1751978
Rexall,L0R 1B5,Ontario,-79.4774195,43.1751978
Shoppers Drug Mart,L0R 1B4,Ontario,-79.4710916,43.183595
Your Independent Grocer,L0K 1A0,Ontario,-79.1435645,44.4360074
Shoppers Drug Mart,L0G 1A0,Ontario,-79.7736306,44.1009853
Bradys Drug Store Belle River,N0R 1A0,Ontario,-82.7023383,42.2698765
Shoppers Drug Mart,N0R 1A0,Ontario,-82.7023383,42.2698765
Belleville Pharmacy,K8P 4A8,Ontario,-77.409591,44.1834577
Belleville Pharmasave,K8N 1G1,Ontario,-77.3536186,44.169601
Food Basics Pharmacy,K8N 1E9,Ontario,-77.3543363,44.1679288
Kelly's Drug Store,K8N 1P7,Ontario,-77.35954,44.1692425
Metro Pharmacy,K8P 3B6,Ontario,-77.3907571,44.1762423
Pharma Xpress,K8P 1K2,Ontario,-77.3966767,44.1603979
Quinte West Pharmacy,K8P 3B6,Ontario,-77.3907571,44.1762423
Rexall,K8N 5G8,Ontario,-77.3689599,44.1630676
Rexall,K8N 1C9,Ontario,-77.3717408,44.1621373
Rossmore Pharmacy,K8N 0L5,Ontario,-77.384344,44.139767
Shoppers Drug Mart,K8P 3E1,Ontario,-77.3966318,44.1886178
Shoppers Drug Mart,K8N 1E7,Ontario,-77.3570279,44.1660397
Shoppers Drug Mart,K8P 5E2,Ontario,-77.3988292,44.1594696
The Drugstore Pharmacy,K8N 1E8,Ontario,-77.3577457,44.1672887
Village Pharmacy,K8N 2Z2,Ontario,-77.3853755,44.1645397
Wal-Mart Pharmacy,K8N 4Z5,Ontario,-77.4529868,44.1909219
Binbrook Pharmacy,L0R 1C0,Ontario,-79.7960523,43.1143414
Wellness Shield Pharmacy,L0B 1B0,Ontario,-78.8042828,44.0845774
Mcintyre IDA Pharmacy,N0P 1A0,Ontario,-81.9752995,42.3680856
Shoppers Drug Mart,N0P 1A0,Ontario,-81.9752995,42.3680856
Shoppers Drug Mart,K0M 1A0,Ontario,-78.5087752,44.6255582
Village Gate Pharmasave,K0M 1A0,Ontario,-78.5087752,44.6255582
Bolton Pharmacy & Health Centre,L7E 1C8,Ontario,-79.7377091,43.8794732
Rexall,L7E 2B5,Ontario,-79.7256152,43.8717312
Shoppers Drug Mart,L7E 2X7,Ontario,-79.7219341,43.8694772
Wal-Mart Pharmacy,L7E 2Y3,Ontario,-79.7126431,43.8637595
Zehrs Markets,L7E 2B4,Ontario,-79.7271928,43.8726127
Bowmanville Clinic Pharmacy,L1C 1P6,Ontario,-78.6770135,43.9117116
Bowmanville Compounding Pharmacy,L1C 5M3,Ontario,-78.6747093,43.9210537
Bowmanville Medical Pharmacy,L1C 1P1,Ontario,-78.6797608,43.9108818
Bowmanville Pharmacy,L1C 1N6,Ontario,-78.68366,43.910388
Loblaw,L1C 5A3,Ontario,-78.7090012,43.9089417
Mcgregor IDA Drugs,L1C 1R2,Ontario,-78.6903947,43.9122394
Metro Pharmacy,L1C 3X1,Ontario,-78.6728482,43.9112212
Pharmasave Medicine Chest Pharmacy,L1C 1P7,Ontario,-78.6769249,43.9108927
Shoppers Drug Mart,L1C 3X1,Ontario,-78.6728482,43.9112212
Shoppers Drug Mart,L1C 4V4,Ontario,-78.7061661,43.9086589
Shoppers Drug Mart,L1C 0H4,Ontario,-78.6896858,43.9307235
Wal-Mart Pharmacy,L1C 3K7,Ontario,-78.7277814,43.9146434
Drugstore Pharmacy,P1L 1B9,Ontario,-79.3205552,45.0425178
Rexall,P1L 1R7,Ontario,-79.3178885,45.0471324
Rexall,P1L 1T2,Ontario,-79.3238992,45.0429805
Shoppers Drug Mart,P1L 2E1,Ontario,-79.3182475,45.044217
Wal-Mart Pharmacy,P1L 0A1,Ontario,-79.2651376,45.0288747
Bradford Medex Pharmacy,L3Z 2A7,Ontario,-79.5656121,44.1158443
Holland Street Pharmacy,L3Z 0A2,Ontario,-79.5933522,44.1063432
Loblaw Pharmacy,L3Z 0A2,Ontario,-79.5933522,44.1063432
Pharmalink IDA Phamracy,L3Z 0G1,Ontario,-79.5877346,44.1070033
Pharmasave,L3Z 2B1,Ontario,-79.5656121,44.1158443
Rexall,L3Z 0C1,Ontario,-79.5898413,44.1113118
Shoppers Drug Mart,L3Z 1R7,Ontario,-79.5685972,44.1130331
Simcoe Square Pharmacy,L3Z 2B2,Ontario,-79.5656121,44.1158443
Sobeys Pharmacy,L3Z 2B1,Ontario,-79.5656121,44.1158443
Wal-Mart Pharmacy,L3Z 0C1,Ontario,-79.5898413,44.1113118
BramCity Pharmasave,L6T 4W2,Ontario,-79.7278939,43.7122753
Brameast Pharmacy,L6S 0C9,Ontario,-79.7257839,43.749764
Brampton Community Pharmacy,L6P 2P9,Ontario,-79.6606482,43.7841396
Brampton Medical Plex Pharmacy,L6Z 4R2,Ontario,-79.7871194,43.7226598
Brinkley Pharmacy,L7A 1R2,Ontario,-79.8217953,43.7308135
Charlolais Pharmacy,L6Y 2R2,Ontario,-79.7496262,43.6593705
