Site.Name,Add,Site...GP.NHS.VHC.Covid.Clinic,Region,lon,lat
Fochabers Institute,IV32 7EP,Covid-19 Vaccination Clinic,Grampian,-3.0923617,57.6123911
Glenlivet,AB37 9AN,Covid-19 Vaccination Clinic,Grampian,-3.3553582,57.3539844
The Shand,AB55 4FH,Covid-19 Vaccination Clinic,Grampian,-3.121648,57.4457936
Tomintoul,AB55 4FH,Covid-19 Vaccination Clinic,Grampian,-3.121648,57.4457936
The Legion Forres,IV36 1PH,Covid-19 Vaccination Clinic,Grampian,-3.6118671,57.6093223
Burghead Townhall,IV30 5PZ,Covid-19 Vaccination Clinic,Grampian,-3.4894171,57.7010736
Hopeman Hall,IV30 5SL,Covid-19 Vaccination Clinic,Grampian,-3.4375595,57.705572
Lossie Baptist Church,IV31 6AD,Covid-19 Vaccination Clinic,Grampian,-3.2829979,57.7212015
St Machar,Aberdeen,Covid-19 Vaccination Clinic,Grampian,-2.094278,57.149717
Harlaw,Aberdeen,Covid-19 Vaccination Clinic,Grampian,-2.094278,57.149717
Northfield,Aberdeen,Covid-19 Vaccination Clinic,Grampian,-2.094278,57.149717
Bridge of Don,Aberdeen,Covid-19 Vaccination Clinic,Grampian,-2.094278,57.149717
Kincorth Community Centre,Aberdeen,Covid-19 Vaccination Clinic,Grampian,-2.094278,57.149717
Torry Sports Centre,Aberdeen,Covid-19 Vaccination Clinic,Grampian,-2.094278,57.149717
Tillydrone Hub,Aberdeen,Covid-19 Vaccination Clinic,Grampian,-2.094278,57.149717
Danestone Community Centre,Aberdeen,Covid-19 Vaccination Clinic,Grampian,-2.094278,57.149717
The Beacon Centre,Aberdeen,Covid-19 Vaccination Clinic,Grampian,-2.094278,57.149717
Peterculter Kirk,Aberdeen,Covid-19 Vaccination Clinic,Grampian,-2.094278,57.149717
Westburn Lounge,Aberdeen,Covid-19 Vaccination Clinic,Grampian,-2.094278,57.149717
Banff,Aberdeenshire,Covid-19 Vaccination Clinic,Grampian,-2.3815684,57.2868723
Fraserburgh,Aberdeenshire,Covid-19 Vaccination Clinic,Grampian,-2.3815684,57.2868723
Peterhead,Aberdeenshire,Covid-19 Vaccination Clinic,Grampian,-2.3815684,57.2868723
Turriff,Aberdeenshire,Covid-19 Vaccination Clinic,Grampian,-2.3815684,57.2868723
Inverurie,Aberdeenshire,Covid-19 Vaccination Clinic,Grampian,-2.3815684,57.2868723
", Insch",Aberdeenshire,Covid-19 Vaccination Clinic,Grampian,-2.3815684,57.2868723
Jubilee,Aberdeenshire,Covid-19 Vaccination Clinic,Grampian,-2.3815684,57.2868723
Glen'o'Dee,Aberdeenshire,Covid-19 Vaccination Clinic,Grampian,-2.3815684,57.2868723
Aboyne,Aberdeenshire,Covid-19 Vaccination Clinic,Grampian,-2.3815684,57.2868723
Kincardine,Aberdeenshire,Covid-19 Vaccination Clinic,Grampian,-2.3815684,57.2868723
Fochabers institute,Moray,Covid-19 Vaccination Clinic,Grampian,-3.3168039,57.6498476
Keith School,Moray,Covid-19 Vaccination Clinic,Grampian,-3.3168039,57.6498476
Aberlour Fleming Hospital,Moray,Covid-19 Vaccination Clinic,Grampian,-3.3168039,57.6498476
"The Shand, Dufftown",Moray,Covid-19 Vaccination Clinic,Grampian,-3.3168039,57.6498476
Tomintoul,Moray,Covid-19 Vaccination Clinic,Grampian,-3.3168039,57.6498476
Lossie Baptist Hall,Moray,Covid-19 Vaccination Clinic,Grampian,-3.3168039,57.6498476
The Legion in Forres,Moray,Covid-19 Vaccination Clinic,Grampian,-3.3168039,57.6498476
Hopeman,Moray,Covid-19 Vaccination Clinic,Grampian,-3.3168039,57.6498476
Burghead,Moray,Covid-19 Vaccination Clinic,Grampian,-3.3168039,57.6498476
Cullen Practice - afternoons only,Moray,Covid-19 Vaccination Clinic,Grampian,-3.3168039,57.6498476
Glenlivet Village Hall,Moray,Covid-19 Vaccination Clinic,Grampian,-3.3168039,57.6498476
Woodend Peer to Peer,AB15 6XS,Covid-19 Vaccination Clinic,Grampian,-2.1715821,57.1472921
Woodend Planned Clinic,AB15 6XS,Covid-19 Vaccination Clinic,Grampian,-2.1715821,57.1472921
ARI Peer to Peer,AB25 2ZN,NHS Vaccination Centre,Grampian,-2.1373654,57.15426
ARI Planned Clinic,AB25 2ZN,NHS Vaccination Centre,Grampian,-2.1373654,57.15426
City: Health Village Clinic,AB24 5HY,Covid-19 Vaccination Clinic,Grampian,-2.0926769,57.1501322
RCH Clinic,AB25 2ZH,Covid-19 Vaccination Clinic,Grampian,-2.1172163,57.154271
RCH Peer to Peer,NULL,Covid-19 Vaccination Clinic,Grampian,-90.516844,38.798267
Shire: Peterhead Hospital Clinic,AB42 2XB,Covid-19 Vaccination Clinic,Grampian,-1.793627,57.5023483
Shire: Chalmers Hospital Clinic,AB45 1JA,Covid-19 Vaccination Clinic,Grampian,-2.5243867,57.6689667
Shire: Turriff Hospital  Clinic,AB53 4DQ,Covid-19 Vaccination Clinic,Grampian,-2.4516659,57.536541
Shire: Jubilee Hospital Clinic,AB54 8EX,Covid-19 Vaccination Clinic,Grampian,-2.7903583,57.443195
Shire: Insch Hospital Clinic,AB52 6JJ,Covid-19 Vaccination Clinic,Grampian,-2.6122871,57.3408748
Shire: Inverurie Hospital Clinic,AB51 3UL,Covid-19 Vaccination Clinic,Grampian,-2.3796358,57.2765674
Shire: Aboyne Hospital Clinic,AB34 5HQ,Covid-19 Vaccination Clinic,Grampian,-2.76761,57.077004
Shire: Banchory,NULL,Covid-19 Vaccination Clinic,Grampian,-90.516844,38.798267
Shire: Stonehaven,NULL,Covid-19 Vaccination Clinic,Grampian,-90.516844,38.798267
Dr Gray's Peer to Peer,IV30 1SN,Covid-19 Vaccination Clinic,Grampian,-3.3269842,57.6464118
COVID-19 DGH,IV30 1SN,Covid-19 Vaccination Clinic,Grampian,-3.3269842,57.6464118
COVID-19 Southfield,IV30 6GR,Covid-19 Vaccination Clinic,Grampian,-3.2941664,57.6371036
HOLBURN MEDICAL GROUP,AB10 1YE,Primary Care Delivery Site,Grampian,-2.1145028,57.1425507
DENBURN MEDICAL PRACTICE,AB25 1QB,Primary Care Delivery Site,Grampian,-2.1072497,57.1486385
WHINHILL MEDICAL PRACTICE,AB11 7XH,Primary Care Delivery Site,Grampian,-2.1075605,57.1359992
HAMILTON MEDICAL GROUP,AB15 4ZT,Primary Care Delivery Site,Grampian,-2.1309607,57.142535
BUCKSBURN MEDICAL PRACTICE,AB21 9DG,Primary Care Delivery Site,Grampian,-2.1822695,57.1766337
WESTBURN MEDICAL GROUP,AB25 2XE,Primary Care Delivery Site,Grampian,-2.1370798,57.1529847
NEW DYCE MEDICAL PRACTICE,AB21 7NQ,Primary Care Delivery Site,Grampian,-2.1763431,57.2066988
TORRY MEDICAL PRACTICE,AB11 8ER,Primary Care Delivery Site,Grampian,-2.0871881,57.1352155
GREAT WESTERN MEDICAL PRACTICE,AB15 7YT,Primary Care Delivery Site,Grampian,-2.1417915,57.1358219
KINCORTH MEDICAL PRACTICE,AB12 5NA,Primary Care Delivery Site,Grampian,-2.1040985,57.1208118
OLDMACHAR MEDICAL PRACTICE,AB24 5RS,Primary Care Delivery Site,Grampian,-2.0967112,57.1635677
MARYWELL HEALTHCARE CENTRE,AB11 6FD,Primary Care Delivery Site,Grampian,-2.0999785,57.1426617
LINKS MEDICAL PRACTICE,AB24 5AU,Primary Care Delivery Site,Grampian,-2.0871833,57.1544839
ALBYN MEDICAL PRACTICE,AB10 1NW,Primary Care Delivery Site,Grampian,-2.1221208,57.1426964
RUBISLAW PLACE MEDICAL GROUP,AB10 1QB,Primary Care Delivery Site,Grampian,-2.1155975,57.1438703
CARDEN MEDICAL CENTRE,AB10 1UT,Primary Care Delivery Site,Grampian,-2.1164785,57.1455672
WOODSIDE MEDICAL GROUP,AB24 2AS,Primary Care Delivery Site,Grampian,-2.1220262,57.16934
SCOTSTOWN MEDICAL GROUP,AB22 8LD,Primary Care Delivery Site,Grampian,-2.1026099,57.180119
GILBERT ROAD MEDICAL GROUP,AB21 9AN,Primary Care Delivery Site,Grampian,-2.175,57.1782789
CULTS MEDICAL GROUP,AB15 9LQ,Primary Care Delivery Site,Grampian,-2.1813585,57.1152535
PETERCULTER MEDICAL PRACTICE,AB14 0RP,Primary Care Delivery Site,Grampian,-2.2582567,57.0989222
DANESTONE MEDICAL PRACTICE,AB22 8ZP,Primary Care Delivery Site,Grampian,-2.1369083,57.1825658
CAMPHILL MEDICAL PRACTICE,AB15 9EP,Primary Care Delivery Site,Grampian,-2.2114766,57.1036989
MACDUFF MEDICAL PRACTICE,AB45 1JD,Primary Care Delivery Site,Grampian,-2.5260165,57.6692294
FINLAYSON STREET PRACTICE,AB43 9JW,Primary Care Delivery Site,Grampian,-2.0140322,57.6924563
CENTRAL BUCHAN MEDICAL PRACTICE,AB43 6NE,Primary Care Delivery Site,Grampian,-2.1983296,57.5919146
SALTOUN SURGERY,AB43 9NH,Primary Care Delivery Site,Grampian,-2.0199166,57.6867876
CRIMOND MEDICAL CENTRE,AB43 8QJ,Primary Care Delivery Site,Grampian,-1.9129687,57.6015448
CRUDEN MEDICAL GROUP,AB42 0QQ,Primary Care Delivery Site,Grampian,-1.9202614,57.4253039
MINTLAW GROUP PRACTICE,AB42 5GP,Primary Care Delivery Site,Grampian,-2.0098732,57.5237504
PETERHEAD HEALTH CENTRE,AB42 2XA,Primary Care Delivery Site,Grampian,-1.7941275,57.5023671
FYVIE OLDMELDRUM MEDICAL GROUP,AB51 0JZ,Primary Care Delivery Site,Grampian,-2.3296751,57.3349434
TURRIFF MEDICAL PRACTICE,AB53 4DQ,Primary Care Delivery Site,Grampian,-2.4516659,57.536541
ALFORD MEDICAL PRACTICE,AB33 8FL,Primary Care Delivery Site,Grampian,-2.7036213,57.2370024
STRATHDON MEDICAL CENTRE,AB36 8XB,Primary Care Delivery Site,Grampian,-3.035965,57.1935391
ELLON GROUP PRACTICE,AB41 9AH,Primary Care Delivery Site,Grampian,-2.0713749,57.3662741
HADDO MEDICAL GROUP,AB41 7NX,Primary Care Delivery Site,Grampian,-2.1785928,57.3366052
INSCH MEDICAL PRACTICE,AB52 6JJ,Primary Care Delivery Site,Grampian,-2.6122871,57.3408748
INVERURIE MEDICAL GROUP,AB51 3UL,Primary Care Delivery Site,Grampian,-2.3796358,57.2765674
KEMNAY MEDICAL GROUP,AB51 5NB,Primary Care Delivery Site,Grampian,-2.4452966,57.2342756
BYDAND MEDICAL GROUP,AB54 8EX,Primary Care Delivery Site,Grampian,-2.7903583,57.443195
SKENE MEDICAL GROUP,AB32 6FG,Primary Care Delivery Site,Grampian,-2.2742949,57.147316
BALLATER CLINIC,AB35 5NN,Primary Care Delivery Site,Grampian,-3.0398489,57.0513593
BRAEMAR HEALTH CLINIC,AB35 5WR,Primary Care Delivery Site,Grampian,-3.4021464,57.0076858
TORPHINS MEDICAL PRACTICE,AB31 4JQ,Primary Care Delivery Site,Grampian,-2.6204987,57.1073194
PORTLETHEN MEDICAL CENTRE,AB12 4QP,Primary Care Delivery Site,Grampian,-2.1255284,57.060552
STONEHAVEN MEDICAL GROUP,AB39 2EL,Primary Care Delivery Site,Grampian,-2.2119156,56.9665973
AUCHENBLAE MEDICAL CENTRE,AB30 1XU,Primary Care Delivery Site,Grampian,-2.4485703,56.9002871
INVERBERVIE MEDICAL GROUP,DD10 0RU,Primary Care Delivery Site,Grampian,-2.2820331,56.8454541
LAURENCEKIRK MEDICAL GROUP,AB30 1GX,Primary Care Delivery Site,Grampian,-2.4755269,56.8317701
ARDACH HEALTH CENTRE,AB56 1JE,Primary Care Delivery Site,Grampian,-2.9661724,57.6715913
SEAFIELD & CULLEN MEDICAL GROUP,AB56 1FP,Primary Care Delivery Site,Grampian,-2.9827875,57.6679062
LINKWOOD MEDICAL,IV30 6GQ,Primary Care Delivery Site,Grampian,-3.2932279,57.636152
ELGIN COMMUNITY SURGERY,IV30 1NE,Primary Care Delivery Site,Grampian,-3.3202527,57.6469762
FOCHABERS MEDICAL PRACTICE,IV32 7EP,Primary Care Delivery Site,Grampian,-3.0923617,57.6123911
MORAY COAST MEDICAL PRACTICE,IV31 6TU,Primary Care Delivery Site,Grampian,-3.3053663,57.7153045
VARIS MEDICAL PRACTICE,IV36 1JG,Primary Care Delivery Site,Grampian,-3.6219196,57.6031475
CULBIN MEDICAL PRACTICE,IV36 1JG,Primary Care Delivery Site,Grampian,-3.6219196,57.6031475
ARI,AB25 2ZN,Covid-19 Vaccination Clinic,Grampian,-2.1373654,57.15426
Aberdeen Health Village,AB24 5HY,Covid-19 Vaccination Clinic,Grampian,-2.0926769,57.1501322
"Chalmers Hospital, Banff",AB45 1JA,Covid-19 Vaccination Clinic,Grampian,-2.5243867,57.6689667
Fraserburgh Community Hospital,AB43 9NH,Covid-19 Vaccination Clinic,Grampian,-2.0199166,57.6867876
Peterhead Community Hospital,AB42 2XB,Covid-19 Vaccination Clinic,Grampian,-1.793627,57.5023483
Turriff Community Hospital,AB53 4DQ,Covid-19 Vaccination Clinic,Grampian,-2.4516659,57.536541
Inverurie Community Hospital,AB51 3UL,Covid-19 Vaccination Clinic,Grampian,-2.3796358,57.2765674
Insch War Memorial Hospital,AB52 6JJ,Covid-19 Vaccination Clinic,Grampian,-2.6122871,57.3408748
"Jubilee Hospital, Huntly",AB54 8EX,Covid-19 Vaccination Clinic,Grampian,-2.7903583,57.443195
"Glen'o'Dee Hospital, Banchory",AB31 5SA,Covid-19 Vaccination Clinic,Grampian,-2.5212397,57.0608521
Aboyne Community Hospital,AB34 5HQ,Covid-19 Vaccination Clinic,Grampian,-2.76761,57.077004
Kincardine Community Hospital,AB39 2NJ,Covid-19 Vaccination Clinic,Grampian,-2.2308115,56.969142
Dr Gray's Hospital,IV30 1SN,Covid-19 Vaccination Clinic,Grampian,-3.3269842,57.6464118
"Fleming Hospital, Aberlour",AB38 9PR,Covid-19 Vaccination Clinic,Grampian,-3.2241738,57.4693469
"Shand Centre, Stephen Hospital",AB55 4BH,Covid-19 Vaccination Clinic,Grampian,-3.1251877,57.4454926
Seafield Hospital,AB56 1FP,Covid-19 Vaccination Clinic,Grampian,-2.9827875,57.6679062
Turner Hospital,AB55 5DJ,Covid-19 Vaccination Clinic,Grampian,-2.9540153,57.5417912
Abbeyside,IV30 1QX,Covid-19 Vaccination Clinic,Grampian,-3.3085118,57.6466221
Abbeyvale,IV30 1QS,Covid-19 Vaccination Clinic,Grampian,-3.3084748,57.6451312
Andersons,IV30 1RP,Covid-19 Vaccination Clinic,Grampian,-3.3059937,57.6478878
Cathay,IV36 2RE,Covid-19 Vaccination Clinic,Grampian,-3.589665,57.6030274
Glenisla,AB55 5GT,Covid-19 Vaccination Clinic,Grampian,-2.9450775,57.5456492
Meadowlark,IV36 2JT,Covid-19 Vaccination Clinic,Grampian,-3.6179852,57.6008531
Netherha,AB56 1EP,Covid-19 Vaccination Clinic,Grampian,-2.9764028,57.6704798
Parkhome,IV31 6RF,Covid-19 Vaccination Clinic,Grampian,-3.2992038,57.7166525
Parkland/Burnbank,AB56 4AD,Covid-19 Vaccination Clinic,Grampian,-2.9542529,57.6652232
Speyside,AB38 9QE,Covid-19 Vaccination Clinic,Grampian,-3.2166302,57.4721328
Spynie,IV30 5JG,Covid-19 Vaccination Clinic,Grampian,-3.3286573,57.6596445
The Grove,IV30 8TE,Covid-19 Vaccination Clinic,Grampian,-3.3440897,57.638227
Wakefield,AB56 4TE,Covid-19 Vaccination Clinic,Grampian,-2.8150073,57.6911955
Weston Wiew,AB55 5JS,Covid-19 Vaccination Clinic,Grampian,-2.9394129,57.5345796
Elgin Community Surgery,IV30 1NE,Covid-19 Vaccination Clinic,Grampian,-3.3202527,57.6469762
Fochabers Medical Practice,IV32 7EP,Covid-19 Vaccination Clinic,Grampian,-3.0923617,57.6123911
Culbin Medical Practice,IV30 1JG,Covid-19 Vaccination Clinic,Grampian,-3.318418,57.6467438
The Varis Medical Practice,IV30 1JG,Covid-19 Vaccination Clinic,Grampian,-3.318418,57.6467438
Keith Health Centre,AB55 5DJ,Covid-19 Vaccination Clinic,Grampian,-2.9540153,57.5417912
Linkwood Medical Centre,IV30 6GQ,Covid-19 Vaccination Clinic,Grampian,-3.2932279,57.636152
Maryhill Group Practice,IV30 1AT,Covid-19 Vaccination Clinic,Grampian,-3.3255122,57.6473974
Moray Coast Medical Practice,IV31 6TU,Covid-19 Vaccination Clinic,Grampian,-3.3053663,57.7153045
KEITH MEDICAL GROUP,AB55 5DJ,Primary Care Delivery Site,Grampian,-2.9540153,57.5417912
ABERLOUR HEALTH CENTRE,AB38 9PR,Primary Care Delivery Site,Grampian,-3.2241738,57.4693469
RINNES MEDICAL GROUP,AB55 4FJ,Primary Care Delivery Site,Grampian,-3.1240381,57.4454938
GLENLIVET MEDICAL PRACTICE,AB37 9AN,Primary Care Delivery Site,Grampian,-3.3553582,57.3539844
CALSAYSEAT MEDICAL GROUP,AB25 3TX,Primary Care Delivery Site,Grampian,-2.107936,57.1574142
THE MACLEAN MEDICAL PRACTICE,G76 7HN,Primary Care Delivery Site,Grampian,-4.2824505,55.7933143
"Topps Tiles, Unit 7, Edgar Road, ELGIN",IV30 6RP,Covid-19 Vaccination Clinic,Grampian,-3.3159188,57.6411104
Aberdeen Health Village,AB24 5HY,Covid-19 Vaccination Clinic,Grampian,-2.0926769,57.1501322
Woodend Hospital,AB15 6XS,Covid-19 Vaccination Clinic,Grampian,-2.1715821,57.1472921
ARI,AB25 2ZN,Covid-19 Vaccination Clinic,Grampian,-2.1373654,57.15426
Bridge Of Don Medical,AB22 8LD,Covid-19 Vaccination Clinic,Grampian,-2.1026099,57.180119
Foresterhill health Centre,AB25 2XE,Covid-19 Vaccination Clinic,Grampian,-2.1370798,57.1529847
Tillydrone Medical,Ab24 2AS,Covid-19 Vaccination Clinic,Grampian,-2.1220262,57.16934
Bucksburn Mecial,AB21 9DG,Covid-19 Vaccination Clinic,Grampian,-2.1822695,57.1766337
Dyce Medical Centre,AB21 7NQ,Covid-19 Vaccination Clinic,Grampian,-2.1763431,57.2066988
"Links Unit, City Hospital",AB24 5AU,Covid-19 Vaccination Clinic,Grampian,-2.0871833,57.1544839
Airyhall Medical Centre,AB15 7RF,Covid-19 Vaccination Clinic,Grampian,-2.1492115,57.1322201
Torry Medical Centre,AB11 8ER,Covid-19 Vaccination Clinic,Grampian,-2.0871881,57.1352155
Aberdeen TECA (Not confirmed),AB21 9FY,Covid-19 Vaccination Clinic,Grampian,-2.1889982,57.1858133
Turriff Hospital,AB53 4DQ,Covid-19 Vaccination Clinic,Grampian,-2.4516659,57.536541
Inverurie Community Hospital,AB51 3UL,Covid-19 Vaccination Clinic,Grampian,-2.3796358,57.2765674
Insch Community Hospital,AB52 6JJ,Covid-19 Vaccination Clinic,Grampian,-2.6122871,57.3408748
Banff - Chalmers,AB45 1JA,Covid-19 Vaccination Clinic,Grampian,-2.5243867,57.6689667
Fraserburgh Community Hospital,AB43 9NF,Covid-19 Vaccination Clinic,Grampian,-2.0195816,57.687614
Peterhead Community Hospital,AB42 2XB,Covid-19 Vaccination Clinic,Grampian,-1.793627,57.5023483
Stonehaven - Kincardine CH,AB39 2PB,Covid-19 Vaccination Clinic,Grampian,-2.2308115,56.969142
Banchory - Glen O'Dee,AB31 5SA,Covid-19 Vaccination Clinic,Grampian,-2.5212397,57.0608521
Aboyne Hospital,AB34 5HQ,Covid-19 Vaccination Clinic,Grampian,-2.76761,57.077004
Huntly - Jubilee Community Hospital,AB54 8EX,Covid-19 Vaccination Clinic,Grampian,-2.7903583,57.443195
Dr Grays,IV30 1SN,Covid-19 Vaccination Clinic,Grampian,-3.3269842,57.6464118
Southfield,IV30 6GR,Covid-19 Vaccination Clinic,Grampian,-3.2941664,57.6371036
NHS Louisa Jordan Occ Health Clinic,G3 8YW,NHS Vaccination Centre,GGC,-4.2887931,55.8608901
Queen Elizabeth University Hospital Occ Health Clinic,G51 4TF,NHS Vaccination Centre,GGC,-4.3381034,55.8626408
Gartnavel General Hospital Occ Health Clinic,G12 0YN,Covid-19 Vaccination Clinic,GGC,-4.3127175,55.8832168
Vale of Leven Occ Health Clinic,G40 4AN,Covid-19 Vaccination Clinic,GGC,-4.2254711,55.8473491
Stobhill Occ Health Clinic,G21 3UW,Covid-19 Vaccination Clinic,GGC,-4.2198419,55.8928906
Inverclyde Royal Hospital Occ Health Clinic,PA16 0XN,Covid-19 Vaccination Clinic,GGC,-4.809819,55.9443008
Royal Alexandra Hospital Occ Health Clinic,PA2 9PN,Covid-19 Vaccination Clinic,GGC,-4.437806,55.8352162
Glasgow Royal Infirmary Occ Health Clinic,G4 0SF,Covid-19 Vaccination Clinic,GGC,-4.2356463,55.8640247
Golden Jubilee Covid 19 Vaccination Clinic,G81 4DY,NHS Vaccination Centre,GGC,-4.4199872,55.9064448
DR K G HARDIE & PARTNERS,G51 4BJ,Primary Care Delivery Site,GGC,-4.3264758,55.8603538
FULTON STREET MEDICAL CENTRE,G13 1JE,Primary Care Delivery Site,GGC,-4.3269671,55.8950182
BUCKINGHAM TERRACE MEDICAL PRACTICE,G12 8ED,Primary Care Delivery Site,GGC,-4.2885214,55.8777286
THE TERRACE MEDICAL PRACTICE,G61 3RD,Primary Care Delivery Site,GGC,-4.3347191,55.9212767
ANNIESLAND MEDICAL PRACTICE,G13 2UP,Primary Care Delivery Site,GGC,-4.3319294,55.8916169
OLD KILPATRICK MEDICAL PRACTICE,G60 5JG,Primary Care Delivery Site,GGC,-4.4593335,55.9246649
ABINGDON MEDICAL PRACTICE,G11 5PE,Primary Care Delivery Site,GGC,-4.3047613,55.8711971
KESSINGTON MEDICAL CENTRE,G61 2DN,Primary Care Delivery Site,GGC,-4.3221275,55.9165446
THE BROOMHILL PRACTICE,G11 7AD,Primary Care Delivery Site,GGC,-4.3234137,55.8724999
NORTHCOTE SURGERY,G12 9LD,Primary Care Delivery Site,GGC,-4.3009581,55.8790514
ASHFIELD MEDICAL PRACTICE,G62 6BT,Primary Care Delivery Site,GGC,-4.3183519,55.9396146
DR I. CULLEN,G12 9PN,Primary Care Delivery Site,GGC,-4.3065668,55.8776522
GARDNER STREET SURGERY,G11 5NG,Primary Care Delivery Site,GGC,-4.3055932,55.8712085
SHAFTESBURY MEDICAL PRACTICE,G14 9UU,Primary Care Delivery Site,GGC,-4.3396862,55.8746091
THE GREEN MEDICAL PRACTICE,G81 2TQ,Primary Care Delivery Site,GGC,-4.4054411,55.9128688
THE SURGERY,KA7 2AQ,Primary Care Delivery Site,GGC,-4.6354414,55.459338
DR HAGGERTY,G15 6EG,Primary Care Delivery Site,GGC,-4.355134,55.9060945
PEEL STREET MEDICAL CENTRE,G11 5LL,Primary Care Delivery Site,GGC,-4.3097494,55.8709418
KNIGHTSWOOD MEDICAL PRACTICE,G13 2SW,Primary Care Delivery Site,GGC,-4.338559,55.894412
KERSLAND HOUSE SURGERY,G62 8BT,Primary Care Delivery Site,GGC,-4.3154458,55.9421678
WHITEINCH MEDICAL PRACTICE,G14 9UT,Primary Care Delivery Site,GGC,-4.339313,55.8745173
DRS LOGAN & MACDONALD,G15 7TS,Primary Care Delivery Site,GGC,-4.3710366,55.9097438
GARSCADDEN BURN MEDICAL PRACTICE,G15 7TS,Primary Care Delivery Site,GGC,-4.3710366,55.9097438
THE CAIRNTOUL PRACTICE,G14 0XT,Primary Care Delivery Site,GGC,-4.3611448,55.8862694
YOKER MEDICAL CENTRE,G14 0NT,Primary Care Delivery Site,GGC,-4.3813909,55.8891506
DRUMCHAPEL MEDICAL PRACTICE,G15 7TS,Primary Care Delivery Site,GGC,-4.3710366,55.9097438
DR TURNBULL & DR COYLE,G15 7TS,Primary Care Delivery Site,GGC,-4.3710366,55.9097438
SCOTSTOUN MEDICAL PRACTICE,G14 9XL,Primary Care Delivery Site,GGC,-4.3484583,55.877974
THE ORANGE WING MEDICAL PRACTICE,G81 2TQ,Primary Care Delivery Site,GGC,-4.4054411,55.9128688
DR CHALMERS & PARTNERS,G81 2TQ,Primary Care Delivery Site,GGC,-4.4054411,55.9128688
DR RAI & PARTNERS,G81 2TQ,Primary Care Delivery Site,GGC,-4.4054411,55.9128688
ASHTON MEDICAL PRACTICE,G12 8SP,Primary Care Delivery Site,GGC,-4.2936674,55.8741726
DR M DUFFY & DR A MORGAN,G15 7TS,Primary Care Delivery Site,GGC,-4.3710366,55.9097438
GAIRBRAID MEDICAL PRACTICE,G20 8FB,Primary Care Delivery Site,GGC,-4.292741,55.8899089
REGENT GARDENS MEDICAL CENTRE,G66 1DH,Primary Care Delivery Site,GGC,-4.1610514,55.9391963
THE TURRET MEDICAL CENTRE,G66 1JB,Primary Care Delivery Site,GGC,-4.155537,55.9393739
SPRINGFIELD MEDICAL PRACTICE,G64 1PJ,Primary Care Delivery Site,GGC,-4.2211272,55.9041823
DR BURTON & DR KRISHNAN,G20 7ER,Primary Care Delivery Site,GGC,-4.2711124,55.879669
PEELVIEW MEDICAL CENTRE,G66 1DN,Primary Care Delivery Site,GGC,-4.1598046,55.9392361
DRS BALLANTYNE & BLAIR,G21 1TR,Primary Care Delivery Site,GGC,-4.2290601,55.8826761
KENMURE MEDICAL PRACTICE,G64 1PJ,Primary Care Delivery Site,GGC,-4.2211272,55.9041823
DRS GAW & ESLER,G20 7ER,Primary Care Delivery Site,GGC,-4.2711124,55.879669
AUCHINAIRN MEDICAL PRACTICE,G64 1NF,Primary Care Delivery Site,GGC,-4.215589,55.8982427
KEPPOCH MEDICAL PRACTICE,G22 5AP,Primary Care Delivery Site,GGC,-4.2540393,55.8810885
LENNOXTOWN MEDICAL PRACTICE,G66 7JJ,Primary Care Delivery Site,GGC,-4.2019974,55.9744822
FERNBANK MEDICAL CENTRE,G22 6BD,Primary Care Delivery Site,GGC,-4.234721,55.8868603
DR S J LANGRIDGE,G22 5AP,Primary Care Delivery Site,GGC,-4.2540393,55.8810885
DR PAUL LYONS,G64 2AA,Primary Care Delivery Site,GGC,-4.2272951,55.9034957
BARCLAY MEDICAL PRACTICE,G20 8FB,Primary Care Delivery Site,GGC,-4.292741,55.8899089
WOODHEAD MEDICAL PRACTICE,G66 3BF,Primary Care Delivery Site,GGC,-4.1516993,55.934561
PARADE GROUP PRACTICE,G31 2ES,Primary Care Delivery Site,GGC,-4.2316066,55.8654821
THE CAIRNS PRACTICE,G32 7JZ,Primary Care Delivery Site,GGC,-4.1698987,55.8522877
DRS MCKENZIE & BURNS,G31 5BA,Primary Care Delivery Site,GGC,-4.1945595,55.8524432
ANNFIELD MEDICAL CENTRE,G31 2XE,Primary Care Delivery Site,GGC,-4.2213419,55.8586938
CRAIL MEDICAL PRACTICE,G31 4UW,Primary Care Delivery Site,GGC,-4.1903423,55.8490494
CARNTYNE MEDICAL CENTRE,G32 6JP,Primary Care Delivery Site,GGC,-4.194416,55.8592491
DR M KHAN,G40 3LJ,Primary Care Delivery Site,GGC,-4.2054508,55.846155
DR S ROSS,G32 7JZ,Primary Care Delivery Site,GGC,-4.1698987,55.8522877
MAIN STREET MEDICAL CENTRE,G40 1HA,Primary Care Delivery Site,GGC,-4.2272716,55.8481074
MCGLONE PRACTICE,G69 7AD,Primary Care Delivery Site,GGC,-4.1164636,55.8488782
OAKWOOD MEDICAL PRACTICE,G34 9HQ,Primary Care Delivery Site,GGC,-4.1259612,55.8689173
DR D.S.DHAMI,G34 9HQ,Primary Care Delivery Site,GGC,-4.1259612,55.8689173
THE MUIRSIDE MEDICAL PRACTICE,G69 7AD,Primary Care Delivery Site,GGC,-4.1164636,55.8488782
WESTMUIR MEDICAL CENTRE,G31 5RA,Primary Care Delivery Site,GGC,-4.1911668,55.8497896
